departamento;distrito;barrio
CANINDEYU;KATUETE;COLONIA LA BOLSA
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;LINEA PROGRESO
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;SAN JOSE
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;SAN ANTONIO
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;COLONIA ALBORADA SUB-URBANO
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;ASENT. SAN JUAN
CANINDEYU;SALTOS DEL GUAIRA;SAN BLAS
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;IBEL
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;COLONIA SANTA ROSA
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;SAN JOSE
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;MARIA AUXILIADORA
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;OBRERO
CANINDEYU;SALTOS DEL GUAIRA;NUEVO HORIZONTE
CANINDEYU;SALTOS DEL GUAIRA;SAN JOSE
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;SAN ROQUE
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;SAN JORGE
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;SAN JUAN
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;ASENT. 15 DE MAYO
;;
CONCEPCION;HORQUETA;ARROYO DE ORO
CANINDEYU;YPE JHU;ARA VERA
CANINDEYU;VILLA YGATIMÍ;SAGRADA FAMILIA
CANINDEYU;VILLA YGATIMÍ;SAN JORGE
CANINDEYU;YPE JHU;SANTA LIBRADA
CANINDEYU;VILLA YGATIMÍ;YVY PYTA SAN LUIS TRIUNFO
CANINDEYU;ITANARA;ASENT. COLONIA CRESCENCIO GONZALEZ
CONCEPCION;SAN CARLOS;SAN ROQUE
CANINDEYU;ITANARA;MARIA AUXILIADORA
CONCEPCION;HORQUETA;NUCLEO 5
CANINDEYU;VILLA YGATIMÍ;GUYRA KEHA
CANINDEYU;VILLA YGATIMÍ;BRITEZ KUE 4 DE OCTUBRE
CANINDEYU;SALTOS DEL GUAIRA;SAN MIGUEL
CANINDEYU;VILLA YGATIMÍ;GUYRA KEHA SAN ANTONIO
CANINDEYU;VILLA YGATIMÍ;YVY PYTA 2
CENTRAL;J AUGUSTO SALDIVAR;SAN FRANCISCO
CANINDEYU;VILLA YGATIMÍ;SANTA LIBRADA
CANINDEYU;SALTOS DEL GUAIRA;SANTA ROSA
CANINDEYU;VILLA YGATIMÍ;YVY PYTA 3
CANINDEYU;VILLA YGATIMÍ;KARUPERA 1
CANINDEYU;VILLA YGATIMÍ;11 DE SETIEMBRE
CANINDEYU;CURUGUATY;ASENT. ARAUJO KUE
CANINDEYU;VILLA YGATIMÍ;LA MORENA
CANINDEYU;CURUGUATY;ITANDEY
CANINDEYU;CURUGUATY;SAN MIGUEL
CAAGUAZU;LA PASTORA;SAN VICENTE
CANINDEYU;VILLA YGATIMÍ;TENDAL MARIA AUXILIADORA
CANINDEYU;VILLA YGATIMÍ;TENDAL 2DA LINEA
CONCEPCION;HORQUETA;YKUA JHOVY
CANINDEYU;VILLA YGATIMÍ;BRITEZ KUE SAN MIGUEL
ITAPUA;ENCARNACION;CARLOS ANTONIO LOPEZ
CENTRAL;J AUGUSTO SALDIVAR;SANTA ROSA
CANINDEYU;VILLA YGATIMÍ;BRITEZ KUE MARIA AUXILIADORA
CANINDEYU;CURUGUATY;ASENT. 5TO ENCUADRE 2DA. LINEA MARACANA
CANINDEYU;SALTOS DEL GUAIRA;VILLA PARQUE ITAIPU
CENTRAL;J AUGUSTO SALDIVAR;VILLA MANO ABIERTA SUB-URBANO
CANINDEYU;VILLA YGATIMÍ;JEJUI GUASU
CANINDEYU;CURUGUATY;ÑU APU'A
CANINDEYU;VILLA YGATIMÍ;BRITEZ KUE PASTOREO
CANINDEYU;CURUGUATY;SAN JOSE
CANINDEYU;VILLA YGATIMÍ;YVU
CANINDEYU;VILLA YGATIMÍ;ITANARAMI
CANINDEYU;VILLA YGATIMÍ;SAN BLAS
CANINDEYU;VILLA YGATIMÍ;BRITEZ KUE 1RA LINEA KAAGUASU
CANINDEYU;VILLA YGATIMÍ;SAGRADA FAMILIA
CANINDEYU;VILLA YGATIMÍ;VIRGEN DEL CARMEN
CANINDEYU;CURUGUATY;GENERAL DIAZ
CENTRAL;J AUGUSTO SALDIVAR;LAS PIEDRAS
CANINDEYU;CURUGUATY;YVYPYTA VISTA ALEGRE
CANINDEYU;CURUGUATY;YVYPYTA KILOMETRO 25
CANINDEYU;CURUGUATY;GENERAL ARTIGAS
CANINDEYU;CURUGUATY;SANTA ROSA
CANINDEYU;CURUGUATY;ASENT. CERRITO
CANINDEYU;CURUGUATY;ASENT. 2DA LINEA ACEPAR
CANINDEYU;CURUGUATY;ASENT. 3RA LINEA ACEPAR
CANINDEYU;CURUGUATY;YVYPYTA 1500
CANINDEYU;CURUGUATY;YVYPYTA TAKUAPI
CANINDEYU;CURUGUATY;LA RUBIA
CANINDEYU;CURUGUATY;COLONIA JEPOPYHY
CONCEPCION;HORQUETA;SAGRADA FAMILIA  2
ITAPUA;ENCARNACION;HOSPITAL
CANINDEYU;CURUGUATY;ARAUJO KUE ONAC
CENTRAL;J AUGUSTO SALDIVAR;FRACCION BONANZA
CANINDEYU;CURUGUATY;ARAUJO KUE  CCR SAN ANTONIO
CANINDEYU;CURUGUATY;INDUSTRIAL
CANINDEYU;CURUGUATY;ARAUJO KUE SANTA ROSA MI
CANINDEYU;CURUGUATY;ASENT. ARAUJO KUE 2
CONCEPCION;HORQUETA;SAN JOSE
ALTO PARAGUAY;PUERTO CASADO;COM INDIG CASTILLA
CENTRAL;J AUGUSTO SALDIVAR;KO'EMBOTA
CANINDEYU;CURUGUATY;ARAUJO KUE
ALTO PARAGUAY;PUERTO CASADO;COM INDIG MARIA AUXILIADORA - KM 40
CANINDEYU;CURUGUATY;SANTA LIBRADA
CENTRAL;J AUGUSTO SALDIVAR;LOS NARANJOS
CANINDEYU;CURUGUATY;PARAJE LUISA
CANINDEYU;CURUGUATY;LAGUNITA
CANINDEYU;CURUGUATY;COLONIA MARCELINO MONTANIA
CANINDEYU;CURUGUATY;ASENT. HUBER DURE
CANINDEYU;CURUGUATY;ASENT. MARACANA  2
CANINDEYU;CURUGUATY;ASENT. PIRO'Y MARACANA
CANINDEYU;CURUGUATY;CIUDAD NUEVA
;;
CANINDEYU;CORPUS CHRISTI;SANTA LUCIA
CONCEPCION;CONCEPCION;CENTRO
CANINDEYU;CURUGUATY;ITA KYSE
CENTRAL;J AUGUSTO SALDIVAR;SAN RAMON
CANINDEYU;CURUGUATY;ASENT. SUIZO KUE
CANINDEYU;CURUGUATY;ASENT. PASO REAL
CANINDEYU;CURUGUATY;JURUTI
CANINDEYU;CURUGUATY;SAN FRANCISCO
CANINDEYU;CURUGUATY;PUESTO HU
CANINDEYU;CURUGUATY;ASENT. SAN ISIDRO
CANINDEYU;CURUGUATY;PUERTO LATA
CANINDEYU;CURUGUATY;INDUSTRIAL
CENTRAL;J AUGUSTO SALDIVAR;MBOKAJATY
CANINDEYU;CORPUS CHRISTI;KARUMBEY
CENTRAL;J AUGUSTO SALDIVAR;TRES BOCAS
CANINDEYU;CORPUS CHRISTI;INMACULADA CONCEPCION
CANINDEYU;CORPUS CHRISTI;COPARO
CANINDEYU;CORPUS CHRISTI;CRUCE GUARANI SUB-URBANO
CANINDEYU;SALTOS DEL GUAIRA;PUERTO ADELA SUB-URBANO
CANINDEYU;CORPUS CHRISTI;Y'HOVY
CANINDEYU;CORPUS CHRISTI;SAN MIGUEL
CENTRAL;J AUGUSTO SALDIVAR;SAN JUAN
CANINDEYU;SALTOS DEL GUAIRA;ADELA SPERATTI
CANINDEYU;CORPUS CHRISTI;SAN RAFAEL
CANINDEYU;SALTOS DEL GUAIRA;VILLA KARAPA
CANINDEYU;SALTOS DEL GUAIRA;ASENT. LA PAZ
CANINDEYU;SALTOS DEL GUAIRA;ASENT. KO'E RORY
CANINDEYU;SALTOS DEL GUAIRA;SAN BLAS
CANINDEYU;CORPUS CHRISTI;GUATAMBU
CANINDEYU;CORPUS CHRISTI;COLONIA ANAHI
;;
CANINDEYU;CORPUS CHRISTI;COLONIA AMERICANA
CANINDEYU;CORPUS CHRISTI;CERRO PYTA
;;
CANINDEYU;CORPUS CHRISTI;CERRO LIMA
CANINDEYU;SALTOS DEL GUAIRA;SALTO DEL GUAIRA KILOMETRO 32
CANINDEYU;SALTOS DEL GUAIRA;SALTO DEL GUAIRA KILOMETRO 18
CANINDEYU;SALTOS DEL GUAIRA;YVY PORA
CANINDEYU;SALTOS DEL GUAIRA;COL. GUADALUPE CAMINO TRES
CANINDEYU;SALTOS DEL GUAIRA;SANTA TERESA
CENTRAL;J AUGUSTO SALDIVAR;FRACCION SAN PEDRO
CANINDEYU;SALTOS DEL GUAIRA;COLONIA GASORY
CANINDEYU;SALTOS DEL GUAIRA;ASENT. 8 DE DICIEMBRE
CANINDEYU;SALTOS DEL GUAIRA;JARDIN DEL NORTE
CANINDEYU;SALTOS DEL GUAIRA;KAREN LUANA
CENTRAL;J AUGUSTO SALDIVAR;ALDANA CAÑADA
CANINDEYU;SALTOS DEL GUAIRA;RESIDENCIAL ACUARIO
CANINDEYU;SALTOS DEL GUAIRA;PRIMAVERA
CENTRAL;J AUGUSTO SALDIVAR;ASENT. TOLEDO CAÑADA
CANINDEYU;SALTOS DEL GUAIRA;SAN FRANCISCO
CENTRAL;J AUGUSTO SALDIVAR;SAN ISIDRO
CENTRAL;J AUGUSTO SALDIVAR;VILLA MARINA
CANINDEYU;SALTOS DEL GUAIRA;RAYITO DE SOL KILOMETRO 2
CANINDEYU;SALTOS DEL GUAIRA;SAN JORGE KILOMETRO 3
CENTRAL;J AUGUSTO SALDIVAR;TOLEDO CAÑADA
CORDILLERA;TOBATI;ISLA FLORIDA
CENTRAL;J AUGUSTO SALDIVAR;YVYRARO 2
CENTRAL;J AUGUSTO SALDIVAR;FRACCION LOMA BLANCA
CENTRAL;J AUGUSTO SALDIVAR;SANTA LUCIA
CENTRAL;J AUGUSTO SALDIVAR;COMPAÑIA 8
CENTRAL;J AUGUSTO SALDIVAR;SAN MIGUEL
CENTRAL;J AUGUSTO SALDIVAR;CENTRO
CENTRAL;J AUGUSTO SALDIVAR;MARISCAL FRANCISCO SOLANO LOPEZ
CENTRAL;J AUGUSTO SALDIVAR;NIÑO JESUS
CENTRAL;J AUGUSTO SALDIVAR;LA AMISTAD
CENTRAL;YPANE;14 DE MAYO
CENTRAL;YPANE;ASENT. PASO DE ORO
CENTRAL;YPANE;CAÑADITA SAN AGUSTIN
CENTRAL;YPANE;CAÑADITA MARISCAL ESTIGARRIBIA
CENTRAL;YPANE;CHACO'I
CENTRAL;YPANE;LAUREL
CENTRAL;YPANE;CAÑADITA YTORORO
CENTRAL;YPANE;ASENT. THOMPSON
CENTRAL;YPANE;ASENT. MARIA AUXILIADORA  THOMPSON
CENTRAL;YPANE;ASENT. FORTALEZA  I - II - III
CENTRAL;YPANE;SAN DIEGO
CENTRAL;YPANE;PASO DE ORO
CENTRAL;YPANE;ROSADO GUASU
CENTRAL;YPANE;ASENT. TRES NACIONES
SAN PEDRO;CAPIIBARY;ASENT. 10 DE JUNIO
CENTRAL;YPANE;ASENT. VIRGEN DE CAACUPE
CANINDEYU;YASY KAÑY;COM INDIG TEKOHA MIRI POTY-ALIKA KUE
CENTRAL;VILLETA;VILLA INDUSTRIAL
CENTRAL;YPANE;YTORORO ISLA
CENTRAL;YPANE;DEL PILAR
CENTRAL;YPANE;SAN FRANCISCO
SAN PEDRO;CAPIIBARY;SAN ISIDRO
CENTRAL;YPACARAI;PALMA
CENTRAL;YPANE;COSTA ALEGRE
CENTRAL;YPANE;MARIA AUXILIADORA
CENTRAL;YPANE;SAN ISIDRO
CENTRAL;ITAUGUA;VILLA CONAVI
CENTRAL;YPACARAI;PUERTA DEL LAGO SUB-URBANO
CENTRAL;YPACARAI;CERRO GUY 2
CENTRAL;YPACARAI;ITAPYTANGUA
CENTRAL;YPACARAI;PEDROZO
CENTRAL;YPACARAI;PUERTA DEL LAGO
CENTRAL;YPACARAI;PASO PUENTE
CENTRAL;YPACARAI;MBOKAJATY
CONCEPCION;YVY YA´U;SAN MIGUEL 2
CENTRAL;YPACARAI;CERRITO
CENTRAL;VILLETA;SAN MARTIN DE PORRES
CENTRAL;YPACARAI;SANTA ROSA
CORDILLERA;PRIMERO DE MARZO;POTRERITO
CENTRAL;YPACARAI;CERRO GUY KILOMETRO 35
CENTRAL;VILLETA;ASENT. 8 DE DICIEMBRE
CENTRAL;VILLETA;VIRGEN DE LOURDES
CENTRAL;YPACARAI;SAN BLAS
CONCEPCION;HORQUETA;KILOMETRO 34 SAN PEDRO
CENTRAL;VILLETA;ASENT. SOL NACIENTE
CENTRAL;YPACARAI;ARROYO ESTRELLA
CENTRAL;VILLA ELISA;YPATI
CENTRAL;YPACARAI;CERRO GUY VI A FERREA
CENTRAL;LIMPIO;ASENT. BARCELONA
CENTRAL;VILLETA;SANTA LUCIA
CONCEPCION;AZOTEY;SANTA ANA
CENTRAL;VILLETA;CUMBARITY
CENTRAL;VILLETA;PUERTO GUYRATI
CENTRAL;VILLETA;SURUBI'Y
CENTRAL;VILLETA;PUERTO SANTA ROSA
CENTRAL;ÑEMBY;VISTA ALEGRE
CENTRAL;VILLETA;ZANJA PYTA
CORDILLERA;JUAN DE MENA;8 DE DICIEMBRE
CENTRAL;VILLETA;BUEY RODEO
CENTRAL;VILLA ELISA;SAN JOSE
CENTRAL;VILLETA;SAN ROQUE
CENTRAL;VILLETA;VALLE PO'I
CENTRAL;VILLETA;TAKUATY
CENTRAL;VILLETA;SENDA
CENTRAL;VILLETA;ZONA INDUSTRIAL SUR
CENTRAL;VILLETA;TAKURUTY
CENTRAL;VILLETA;FRACCION ABAY
CENTRAL;SAN LORENZO;SAN RAFAEL
CENTRAL;VILLETA;NARANJAISY
CENTRAL;VILLETA;SAN ANTONIO
CENTRAL;VILLETA;SAGRADO CORAZON JESUS
CENTRAL;VILLETA;SAN ISIDRO
CORDILLERA;JUAN DE MENA;LA UNION
CENTRAL;VILLETA;LOMA MERLO
CENTRAL;ITAUGUA;VIRGEN DEL CARMEN
CENTRAL;VILLA ELISA;29 DE SETIEMBRE
CENTRAL;VILLA ELISA;TRES BOCAS
CENTRAL;SAN LORENZO;SAN ROQUE
CENTRAL;VILLA ELISA;ROSEDAL
CENTRAL;VILLA ELISA;ARROYO SECO
CENTRAL;VILLA ELISA;SAN JUAN
CONCEPCION;CONCEPCION;SAN ANTONIO
CENTRAL;VILLA ELISA;GLORIA MARIA
CENTRAL;VILLA ELISA;SOL DE AMERICA
CENTRAL;VILLA ELISA;CENTRO
CENTRAL;VILLA ELISA;VILLA HERMOSA
CENTRAL;VILLA ELISA;PICADA
CENTRAL;VILLA ELISA;MBOKAJATY
CENTRAL;VILLA ELISA;VILLA BONITA
CENTRAL;SAN LORENZO;MIRAFLORES
CENTRAL;SAN LORENZO;BARCEQUILLO
CENTRAL;ÑEMBY;3 DE MAYO
CENTRAL;SAN LORENZO;ESPIRITU SANTO
CENTRAL;SAN LORENZO;VILLA DEL AGRONOMO
SAN PEDRO;YATAITY DEL NORTE;CENTRO
CENTRAL;SAN LORENZO;SANTO TOMAS
CENTRAL;LIMPIO;ISLA AVEIRO SAN JOSE
CENTRAL;SAN LORENZO;SAN FELIPE
CONCEPCION;LORETO;FATIMA
CENTRAL;SAN LORENZO;CAPILLA DEL MONTE
CENTRAL;SAN LORENZO;VILLA UNIVERSITARIA
CENTRAL;ITAUGUA;SANTA TERESA
CENTRAL;SAN LORENZO;INMACULADA
CENTRAL;SAN LORENZO;SAN ANTONIO - CIUDAD
CENTRAL;LIMPIO;PIQUETE KUE VIRGEN DE FATIMA
CONCEPCION;LORETO;LAGUNA CRISTO REY
CENTRAL;SAN LORENZO;SAN JUAN - LUCERITO
CENTRAL;SAN LORENZO;MARIA AUXILIADORA
CENTRAL;SAN LORENZO;LOS NOGALES
CENTRAL;LIMPIO;ASENT. 19 DE JUNIO
CENTRAL;ÑEMBY;LOS NARANJOS
CENTRAL;SAN LORENZO;VILLA INDUSTRIAL
CENTRAL;SAN LORENZO;SAN PEDRO
CENTRAL;ITAUGUA;LAURELTY
CENTRAL;SAN LORENZO;RINCON
CENTRAL;SAN LORENZO;SAN JOSE
CENTRAL;SAN LORENZO;VIRGEN DEL ROSARIO
GUAIRA;SAN SALVADOR;SAN CAYETANO
CENTRAL;ITA;AVEIRO 1 SUB-URBANO
CENTRAL;SAN LORENZO;MITA'I - NUEVA AURORA
CENTRAL;SAN LORENZO;TAJASUAPE
CENTRAL;SAN LORENZO;LA VICTORIA
CENTRAL;LIMPIO;RINCON DEL PEÑON SAN ANTONIO
PRESIDENTE HAYES;TTE 1RO MANUEL IRALA FERNANDEZ;COM INDIG CASANILLO-LINDA VISTA
CENTRAL;SAN LORENZO;ANAHI
ITAPUA;GENERAL ARTIGAS;KURUPAYTY
CENTRAL;SAN LORENZO;REDUCTO
CENTRAL;SAN LORENZO;SAN LUIS
PRESIDENTE HAYES;TTE 1RO MANUEL IRALA FERNANDEZ;COM INDIG CASANILLO
CENTRAL;SAN LORENZO;LERIDA
CENTRAL;SAN LORENZO;SANTA CRUZ
CENTRAL;SAN LORENZO;SANTA LIBRADA
CENTRAL;SAN LORENZO;FATIMA
CENTRAL;LIMPIO;ASENT. NUEVO AMANECER AGUAPEY
CENTRAL;SAN LORENZO;SAN RAMON
CENTRAL;SAN LORENZO;SANTA LUCIA
CENTRAL;SAN LORENZO;SAN FRANCISCO
CENTRAL;SAN LORENZO;VILLA AMELIA
CENTRAL;SAN LORENZO;SAN ISIDRO
CENTRAL;MARIANO ROQUE ALONSO;LA ASUNCION
CENTRAL;SAN LORENZO;SANTA MARIA
CENTRAL;SAN LORENZO;LAS MERCEDES
CENTRAL;SAN LORENZO;SAN PEDRO - ÑU PORA
CENTRAL;LUQUE;NUEVA ASUNCION
CENTRAL;SAN LORENZO;SAN JUAN - CALLE'I
CENTRAL;SAN LORENZO;SAGRADA FAMILIA
CENTRAL;SAN LORENZO;VILLA LAURELTY
CENTRAL;LIMPIO;ASENT. SANTA LIBRADA 2 RINCON DEL PEÑON
CENTRAL;SAN LORENZO;LAURELTY
CENTRAL;SAN LORENZO;SAN MIGUEL
CENTRAL;SAN ANTONIO;NARANJATY
CENTRAL;SAN ANTONIO;SAN BLAS
CENTRAL;SAN ANTONIO;ANTIGUA IMAGEN
CENTRAL;SAN ANTONIO;SAN ROQUE
CENTRAL;MARIANO ROQUE ALONSO;BAÑADO
CENTRAL;SAN ANTONIO;LA MERCED
CENTRAL;LIMPIO;SALADO VILLA ENRIQUE
CENTRAL;SAN ANTONIO;SAN FRANCISCO
CENTRAL;LIMPIO;RINCON DEL PEÑON SAN SALVADOR
CENTRAL;SAN ANTONIO;PUEBLO
CENTRAL;ÑEMBY;CENTRO
CENTRAL;SAN ANTONIO;ACHUCARRO
SAN PEDRO;GENERAL ELIZARDO AQUINO;CAMPO VIRGEN
SAN PEDRO;GENERAL ELIZARDO AQUINO;YKUA NIÑO
CENTRAL;ÑEMBY;CAÑADITA
CENTRAL;ÑEMBY;CAAGUASU
CENTRAL;ITAUGUA;FRACCION DIANA
CENTRAL;ÑEMBY;SALINAS
CONCEPCION;AZOTEY;VIRGEN DE FATIMA
CENTRAL;ÑEMBY;PA'I ÑU
CENTRAL;LIMPIO;RINCON DEL PEÑON SANTA ROSA
CENTRAL;ÑEMBY;VILLA ANITA
CONCEPCION;BELEN;SALVADOR DEL MUNDO
CENTRAL;NUEVA ITALIA;ASENT. ITA YVATE'I 1
CENTRAL;ÑEMBY;RINCON
SAN PEDRO;GENERAL ELIZARDO AQUINO;NATIVIDAD
CENTRAL;LIMPIO;CENTRO SAN JUAN
CENTRAL;ÑEMBY;MBOKAJATY
CENTRAL;MARIANO ROQUE ALONSO;SAN JORGE
CENTRAL;NUEVA ITALIA;2 DE MAYO
ITAPUA;OBLIGADO;EL PORTAL
CENTRAL;NUEVA ITALIA;PINDOTY
CENTRAL;NUEVA ITALIA;SANTA ROSA
CENTRAL;NUEVA ITALIA;SAN PEDRO
CONCEPCION;CONCEPCION;PRIMAVERA
CENTRAL;NUEVA ITALIA;ISLA GUAVIRA
CENTRAL;MARIANO ROQUE ALONSO;LA CONCORDIA MONSEÑOR BOGARIN
CENTRAL;MARIANO ROQUE ALONSO;KA'AGUY KUPE
CENTRAL;NUEVA ITALIA;TAKUARA
CENTRAL;LIMPIO;VILLA MADRID
CENTRAL;MARIANO ROQUE ALONSO;SAN RAMON
CENTRAL;MARIANO ROQUE ALONSO;REMANSO
CENTRAL;NUEVA ITALIA;ITA YVATE´I
CENTRAL;NUEVA ITALIA;ASENT. ITA YVATE'I 3
CENTRAL;LIMPIO;ISLA AVEIRO SAN RAFAEL
CENTRAL;NUEVA ITALIA;TATARE
CENTRAL;MARIANO ROQUE ALONSO;CAACUPEMI
CENTRAL;MARIANO ROQUE ALONSO;SURUBI-Y
CONCEPCION;CONCEPCION;SANTA RITA
CENTRAL;MARIANO ROQUE ALONSO;SAN BLAS
CENTRAL;LIMPIO;MBAJUE SAN VICENTE
CENTRAL;MARIANO ROQUE ALONSO;VILLA MARGARITA
CENTRAL;LIMPIO;RINCON DEL PEÑON EL PROGRESO
CORDILLERA;JUAN DE MENA;CENTRO
CENTRAL;MARIANO ROQUE ALONSO;DEFENSORES DEL CHACO
CENTRAL;ITAUGUA;FRACCION SAN MIGUEL
CENTRAL;MARIANO ROQUE ALONSO;MARIA AUXILIADORA
CENTRAL;MARIANO ROQUE ALONSO;CENTRAL II
CENTRAL;LUQUE;CAÑADA SAN RAFAEL
GUAIRA;SAN SALVADOR;SAN ROQUE
CENTRAL;LIMPIO;CENTRO SAN ANTONIO
CENTRAL;MARIANO ROQUE ALONSO;SAN LUIS
ÑEEMBUCU;VILLALBIN;ISLA REAL
CENTRAL;MARIANO ROQUE ALONSO;AREKAJA
CENTRAL;MARIANO ROQUE ALONSO;CORUMBA KUE - UNIVERSO
CENTRAL;LUQUE;ASENT. NUEVA ASUNCION
CENTRAL;LUQUE;NUEVA ASUNCION SUB-URBANO
CENTRAL;LUQUE;ITAPUAMI 1
CENTRAL;LUQUE;TARUMANDY
CENTRAL;LUQUE;ITA ANGU'A
CENTRAL;LUQUE;LOMA MERLO
CENTRAL;LAMBARE;MBACHIO I
CENTRAL;LUQUE;MARIN KA'AGUY
CENTRAL;LUQUE;CUARTO BARRIO
CENTRAL;LIMPIO;PIQUETE KUE SAN ANTONIO
CENTRAL;LUQUE;PRIMER BARRIO
CORDILLERA;SAN JOSE OBRERO;LAS MERCEDES
CENTRAL;LUQUE;MAKA'I
CENTRAL;LIMPIO;RINCON DEL PEÑON VILLA FLAMENGO 1 Y 2
CENTRAL;LUQUE;CAÑADA GARAY
CENTRAL;LIMPIO;PIQUETE KUE SAN MIGUEL
CENTRAL;LUQUE;SEGUNDO BARRIO
CENTRAL;LIMPIO;ASENT. AURORA RINCON DEL PEÑON
CENTRAL;LIMPIO;ASENT.  24 DE MAYO RINCON DEL PEÑON
CENTRAL;LUQUE;MARAMBURE
CENTRAL;ITAUGUA;SAN ISIDRO
CENTRAL;LUQUE;TERCER BARRIO
CONCEPCION;YVY YA´U;VIRGEN DEL ROSARIO
CENTRAL;LUQUE;JAGUARETE KORA
CENTRAL;LIMPIO;RINCON DEL PEÑON LOS CISNES
CENTRAL;LUQUE;LAURELTY
ITAPUA;BELLA VISTA;8 DE DICIEMBRE
CENTRAL;LUQUE;ITAPUAMI 2
CENTRAL;LIMPIO;RINCON DEL PEÑON NUEVA ASUNCION
CENTRAL;LIMPIO;ASENT. STA LIBRADA 1 RINCON DEL PEÑON
PRESIDENTE HAYES;TTE 1RO MANUEL IRALA FERNANDEZ;COM INDIG CASANILLO-CAMPO AROMA
CONCEPCION;SAN LAZARO;CERRO TIGRE
CENTRAL;LIMPIO;ISLA AVEIRO ANAHI
CENTRAL;LIMPIO;ISLA AVEIRO AMANECER
CENTRAL;LIMPIO;ISLA AVEIRO SAN JORGE
CENTRAL;LIMPIO;CENTRO SAN FRANCISCO
CENTRAL;LIMPIO;ASENT.  NUEVA ESPERANZA ISLA AVEIRO
CENTRAL;LIMPIO;ISLA AVEIRO SAN CAYETANO
CONCEPCION;SAN LAZARO;VALLEMI SAN ANTONIO SUB-URBANO
CONCEPCION;SAN LAZARO;VALLEMI SANTA TERESITA SUB-URBANO
CENTRAL;LIMPIO;ISLA AVEIRO VILLA NAVIDAD
CENTRAL;LIMPIO;ASENT.  SAN AGUSTIN MBAJUE
CENTRAL;LIMPIO;MBAJUE LOMBARDIA
CONCEPCION;SAN LAZARO;VALLEMI SAN RAMON SUB-URBANO
CENTRAL;LIMPIO;CENTRO SANTA LIBRADA
CENTRAL;LIMPIO;ASENT. SAN JUAN CENTRO
CENTRAL;LIMPIO;SAN BLAS JUAN DE SALAZAR
CENTRAL;LIMPIO;MBAJUE FILADELFIA
CENTRAL;LIMPIO;AGUAPEY VILLA DON  BOSCO
CENTRAL;LIMPIO;AGUAPEY VILLA PA'I CLEBA
SAN PEDRO;ITACURUBI DEL ROSARIO;SAN MIGUEL
CENTRAL;LIMPIO;MONTAÑA ALTA LAS MAGNOLIAS
CENTRAL;LIMPIO;PIQUETE KUE CENTRO
CENTRAL;LIMPIO;MONTAÑA ALTA 2
CENTRAL;LIMPIO;PIQUETE KUE SANTA LIBRADA
CENTRAL;LIMPIO;CENTRO SAN JOSE
CONCEPCION;HORQUETA;CRISTO REY
CONCEPCION;HORQUETA;SAGRADA FAMILIA 1
CENTRAL;LIMPIO;MONTAÑA ALTA 1
CENTRAL;LIMPIO;ASENT. SALADO
CENTRAL;ITAUGUA;LA COLINA
CENTRAL;LIMPIO;RINCON DEL PEÑON AURORA
GUAIRA;GENERAL EUGENIO A. GARAY;KILOMETRO. 25
CENTRAL;LIMPIO;RINCON DEL PEÑON LA ESPERANZA
PRESIDENTE HAYES;TTE 1RO MANUEL IRALA FERNANDEZ;ZONA GENERAL DIAZ
GUAIRA;GENERAL EUGENIO A. GARAY;NUESTRA SEÑORA DE LA ASUNCION SUB-URBANO
CENTRAL;LIMPIO;ISLA SAN FRANCISCO
CENTRAL;LIMPIO;PIQUETE KUE SAN BLAS
CONCEPCION;HORQUETA;KILOMETRO 31 SAN MARCOS
CENTRAL;LIMPIO;ISLA ARANDA
CENTRAL;LIMPIO;RINCON DEL PEÑON SAN ROQUE
CENTRAL;LIMPIO;MONTAÑA ALTA 8 DE DICIEMBRE
CENTRAL;LIMPIO;CENTRO SANTA LUCIA
CENTRAL;LIMPIO;RINCON DEL PEÑON COSTA AZUL
CENTRAL;ITAUGUA;SAN JUAN 2
CONCEPCION;YVY YA´U;VILLA DEL MAESTRO
CENTRAL;LIMPIO;PIQUETE KUE EL PEÑON 1 Y 2
CENTRAL;LIMPIO;PIQUETE KUE EL PEÑON 4
CENTRAL;LIMPIO;CENTRO PARAISO
CENTRAL;LIMPIO;EL PEÑON 3
CENTRAL;LIMPIO;CENTRO SAN RAMON
CONCEPCION;SAN LAZARO;VALLEMI CAACUPEMI SUB-URBANO
CENTRAL;LIMPIO;ISLA AVEIRO EL BOSQUE
CENTRAL;LIMPIO;ISLA AVEIRO BARRIO NORTE
CENTRAL;LIMPIO;PIQUETE KUE SAN FRANCISCO
CENTRAL;LIMPIO;ISLA AVEIRO EL PORTAL
CENTRAL;LIMPIO;CENTRO SAN PEDRO
CENTRAL;LAMBARE;CENTRO URBANO
